Tests,Results,LogTests,LogResults
10,0.019738435745239258,1.0,-1.7046872677823406
100,0.019988059997558594,2.0,-1.6992293556188085
1000,0.021612852811813354,2.9999999999999996,-1.6652879041646118
10000,0.04941016435623169,4.0,-1.3061837014863011
100000,0.26797643303871155,5.0,-0.5719033979536137
1000000,2.6492569744586945,5.999999999999999,0.42312408633670756
10000000,25.635582774877548,7.0,1.4088431947249909
