Tests,Results,LogTests,LogResults,MergeTests,MergeResults
10,0.015241265296936035,1.0,-1.816978977309605,10,0.012742191553115845
100,0.01611560583114624,2.0,-1.7927533634884008,100,0.01399141550064087
1000,0.016240566968917847,2.9999999999999996,-1.7893988133230252,1000,0.014491826295852661
10000,0.02873408794403076,4.0,-1.5416025833627502,10000,0.032106995582580566
100000,0.27384012937545776,5.0,-0.5625029086881966,100000,0.3368059992790222
1000000,3.0532499849796295,5.999999999999999,0.48476236363460096,1000000,4.532279878854752
10000000,35.5493660569191,7.0,1.5508318604684093,100000000,65.7844609618187
