Tests,Results,LogTests,LogResults
10,0.02288696765899658,1.0,-1.6404117440752377
110,0.02033841609954834,2.041392685158225,-1.6916828717677688
210,0.019488751888275146,2.322219294733919,-1.7102159733704048
310,0.013891792297363282,2.4913616938342726,-1.857241718651179
410,0.015141475200653075,2.6127838567197355,-1.8198318104176692
510,0.014541566371917725,2.707570176097936,-1.8373888101178981
610,0.012942254543304443,2.7853298350107667,-1.8879900628923136
710,0.018189358711242675,2.851258348719075,-1.7401826122657156
810,0.017339932918548583,2.9084850188786495,-1.7609525869728728
910,0.01758970022201538,2.9590413923210934,-1.7547415620794304
1010,0.01589064598083496,3.004321373782642,-1.7988584476504152
1110,0.018039608001708986,3.045322978786657,-1.7437729038530771
1210,0.023486626148223878,3.0827853703164494,-1.6291793651059725
1310,0.021787536144256592,3.117271295655764,-1.66179187941204
1410,0.022936975955963133,3.1492191126553797,-1.639463840672319
1510,0.02398587465286255,3.1789769472931693,-1.6200444402172252
1610,0.022237253189086915,3.2068258760318495,-1.6529188591086914
1710,0.027534568309783937,3.2329961103921536,-1.5601217280495367
1810,0.041376149654388426,3.257678574869184,-1.3832499259867275
1910,0.032780921459198,3.281033367247727,-1.484378842741712
2010,0.03223143815994263,3.3031960574204886,-1.4917203159275492
2110,0.0401767373085022,3.3242824552976926,-1.396025334547626
2210,0.09019821882247925,3.34439227368511,-1.0448020385468204
2310,0.06411316394805908,3.363611979892144,-1.1930527904025359
2410,0.06171492338180542,3.382017042574868,-1.2096098058419822
2510,0.03867788314819336,3.3996737214810375,-1.412537303002065
2610,0.03787820339202881,3.4166405073382804,-1.4216106282810133
2710,0.10913746356964112,3.4329692908744054,-0.9620261437406039
2810,0.09459599256515502,3.4487063199050794,-1.0241272615231993
2910,0.08495137691497803,3.463892988985907,-1.0708295775750316
3010,0.038028180599212646,3.4785664955938436,-1.4198944522540478
3110,0.03502985239028931,3.492760389026837,-1.4555616927199293
3210,0.035229730606079104,3.5065050324048714,-1.4530906777594506
3310,0.04147627353668213,3.519827993775718,-1.3822002700061429
3410,0.039677226543426515,3.5327543789924976,-1.4014586928430133
3510,0.03922756910324097,3.545307116465824,-1.4064086038704386
3610,0.0395770788192749,3.5575072019056577,-1.402556264184397
3710,0.044374632835388186,3.5693739096150456,-1.352865227361628
3810,0.04372488260269165,3.580924975675619,-1.3592713478886602
3910,0.040077364444732665,3.5921767573958667,-1.3971008461414138
4010,0.06186419725418091,3.6031443726201817,-1.2085606180785247
4110,0.061913466453552245,3.613841821876069,-1.2082148797295547
4210,0.04832214117050171,3.6242820958356683,-1.3158538302244382
4310,0.05571801662445068,3.634477270160731,-1.2540043514079333
4410,0.04987149238586426,3.644438589467838,-1.3021476354863086
4510,0.04227589368820191,3.6541765418779604,-1.3739072028963413
4610,0.05291932821273804,3.663700925389648,-1.2763856776242326
4710,0.0706097960472107,3.6730209071288957,-1.1511350429408371
4810,0.08205275535583496,3.6821450763738315,-1.0859068306286468
4910,0.07635633945465088,3.691081492122968,-1.1171548999843937
