Tests,Results,LogTests,LogResults
10,0.05084550380706787,1.0,-1.293747445064017
110,0.043472498655319214,2.041392685158225,-1.3617853972825642
210,0.044722914695739746,2.322219294733919,-1.3494699002239012
310,0.04384911060333252,2.4913616938342726,-1.3580392110546602
410,0.04334944486618042,2.6127838567197355,-1.3630164597355972
510,0.04259893298149109,2.707570176097936,-1.3706012789736681
610,0.04160130023956299,2.7853298350107667,-1.3808930953818466
710,0.04085057973861694,2.851258348719075,-1.3888017757167381
810,0.03960150480270386,2.9084850188786495,-1.4022883111680757
910,0.042974501848220825,2.9590413923210934,-1.3667891488659885
1010,0.04409915208816528,3.004321373782642,-1.3555697608036152
1110,0.047348856925964355,3.045322978786657,-1.3246905010691203
1210,0.0539688766002655,3.0827853703164494,-1.2678566219826548
1310,0.04909694194793701,3.117271295655764,-1.3089455575001747
1410,0.052593767642974854,3.1492191126553797,-1.2790657166567079
1510,0.04922223091125488,3.1789769472931693,-1.3078387065517239
1610,0.04497358202934265,3.2068258760318495,-1.3470425206236543
1710,0.05009552836418152,3.2329961103921536,-1.3002010384727212
1810,0.04722049832344055,3.257678574869184,-1.3258694340726562
1910,0.04747232794761658,3.281033367247727,-1.3235594708303113
2010,0.04472401738166809,3.3031960574204886,-1.3494591924130719
2110,0.05022150278091431,3.3242824552976926,-1.299110296009917
2210,0.04572269320487976,3.34439227368511,-1.3398681962651755
2310,0.06321325898170471,3.363611979892144,-1.1991918188909414
2410,0.05246901512145996,3.382017042574868,-1.2800970877233233
2510,0.058840006589889526,3.3996737214810375,-1.230327287304934
2610,0.10106727480888367,3.4166405073382804,-0.9953894445141209
2710,0.09469544887542725,3.4329692908744054,-1.0236708929691052
2810,0.09219673275947571,3.4487063199050794,-1.0352844690729706
2910,0.06870970129966736,3.463892988985907,-1.1629819394548444
3010,0.0914469063282013,3.4785664955938436,-1.0388309822303996
3110,0.1005668044090271,3.492760389026837,-0.9975453497083521
3210,0.07757940888404846,3.5065050324048714,-1.110253533828176
3310,0.09719407558441162,3.519827993775718,-1.0123602064668642
3410,0.16915184259414673,3.5327543789924976,-0.7717232670210683
3510,0.08757436275482178,3.545307116465824,-1.0576230141937861
3610,0.09719419479370117,3.5575072019056577,-1.0123596738016316
3710,0.09044799208641052,3.5693739096150456,-1.043601069881794
3810,0.08807447552680969,3.580924975675619,-1.0551499343118138
3910,0.09869357943534851,3.5921767573958667,-1.0057110996758327
4010,0.0916968286037445,3.6031443726201817,-1.0376456844358803
4110,0.13879474997520447,3.613841821876069,-0.8576269611140206
4210,0.10981237888336182,3.6242820958356683,-0.9593487001618057
4310,0.1044396460056305,3.634477270160731,-0.9811346088718991
4410,0.10743793845176697,3.644438589467838,-0.9688423336194186
4510,0.09844338893890381,3.6541765418779604,-1.0068134440130012
4610,0.10943755507469177,3.663700925389648,-0.9608336180127646
4710,0.12930133938789368,3.6730209071288957,-0.888396976389841
4810,0.10106682777404785,3.6821450763738315,-0.9953913654642222
4910,0.0890730619430542,3.691081492122968,-1.0502536182791509
